ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
54552;4-Aduana;Equipamento de Radiação Restrita;;;1300;31612,00;1300;abr;29/04/2021;28/12/2021;2021
51137;4-Aduana;;;;40000;19000,00;40000;mar;15/03/2021;28/12/2021;2021
54552;4-Aduana;Equipamento de Radiação Restrita;;;1008;22165,92;1008;abr;29/04/2021;28/12/2021;2021
74012;4-Aduana;Outros;;;2000;21000,00;2000;ago;31/08/2021;28/12/2021;2021
77089;4-Aduana;SmartTV Box;6000;0;6000;4616400,00;12000;nov;29/11/2021;28/12/2021;2021
77673;1-Comércio;Equipamento de Radiação Restrita;;;1144;157801,00;1144;dez;09/12/2021;28/12/2021;2021
77673;1-Comércio;Celulares;;;15;42852,00;15;dez;09/12/2021;28/12/2021;2021
76942;4-Aduana;Equipamento de Radiação Restrita;;;250;25472,50;250;nov;26/11/2021;28/12/2021;2021
52235;4-Aduana;Equipamento de Rede de Dados;2001;;;;2001;abr;15/04/2021;28/12/2021;2021
77673;1-Comércio;Carregadores de Baterias;;;565;37561,00;565;dez;09/12/2021;28/12/2021;2021
51609;4-Aduana;SmartTV Box;1280;;;;1280;abr;06/04/2021;28/12/2021;2021
52235;4-Aduana;Carregadores de Baterias;320;;;;320;abr;15/04/2021;28/12/2021;2021
51609;4-Aduana;Equipamento de Radiação Restrita;70600;;;;70600;abr;06/04/2021;28/12/2021;2021
77673;1-Comércio;SmartTV Box;;;19;10331,00;19;dez;09/12/2021;28/12/2021;2021
52357;4-Aduana;Carregadores de Baterias;0;0;1000;5680,00;1000;abr;06/04/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;1000;5500,00;1000;abr;29/04/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;2000;11000,00;2000;abr;29/04/2021;28/12/2021;2021
74012;4-Aduana;Outros;;;1260;19845,00;1260;ago;31/08/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;720;24537,60;720;abr;29/04/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;6830;75061,70;6830;abr;29/04/2021;28/12/2021;2021
74012;4-Aduana;Outros;;;5000;52500,00;5000;ago;31/08/2021;28/12/2021;2021
53319;4-Aduana;Carregadores de Baterias;;;119150;;119150;abr;30/04/2021;28/12/2021;2021
54777;4-Aduana;Carregadores de Baterias;;;190;1026,00;190;mai;07/05/2021;28/12/2021;2021
52357;4-Aduana;Carregadores de Baterias;0;0;4000;22720,00;4000;abr;06/04/2021;28/12/2021;2021
60171;4-Aduana;Equipamento de Rede de Dados;;;2160;88273,00;2160;mai;26/05/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;1540;16924,60;1540;abr;29/04/2021;28/12/2021;2021
52357;4-Aduana;Carregadores de Baterias;0;0;4000;22720,00;4000;abr;06/04/2021;28/12/2021;2021
52459;4-Aduana;Carregadores de Baterias;0;0;0;0,00;0;abr;08/04/2021;28/12/2021;2021
71999;4-Aduana;;;;;44642,00;0;jul;21/07/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;200;1092,00;200;jul;21/07/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;1350;14742,00;1350;jul;21/07/2021;28/12/2021;2021
74334;1-Comércio;Outros;;2;;50000,00;2;set;14/09/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;100;58000,00;100;set;13/09/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;420;5733,00;420;jul;21/07/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;100;49647,00;100;set;13/09/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;300;173565,00;300;set;13/09/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;1250;8875,00;1250;jul;21/07/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;1000;7100,00;1000;jul;21/07/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;300;124197,00;300;set;13/09/2021;28/12/2021;2021
71999;4-Aduana;Equipamento de Radiação Restrita;;;1000;7100,00;1000;jul;21/07/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;106;46786,28;106;set;13/09/2021;28/12/2021;2021
77674;1-Comércio;Equipamento de Radiação Restrita;;;94;22672,57;94;dez;09/12/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;2629;1443321,00;2629;set;13/09/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;1117;814293,00;1117;set;13/09/2021;28/12/2021;2021
77674;1-Comércio;Carregadores de Baterias;;;39;4827,73;39;dez;09/12/2021;28/12/2021;2021
77674;1-Comércio;SmartTV Box;;;2;584,00;2;dez;09/12/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;508;145796,00;508;set;13/09/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;200;79800,00;200;set;13/09/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;200;87644,00;200;set;13/09/2021;28/12/2021;2021
71470;4-Aduana;Equipamento de Radiação Restrita;;;24390;3038401,80;24390;jul;05/07/2021;28/12/2021;2021
75033;4-Aduana;Equipamento de Radiação Restrita;;;5000;125000,00;5000;out;14/10/2021;28/12/2021;2021
71589;4-Aduana;Equipamento de Radiação Restrita;;;1500;15090,00;1500;jun;30/06/2021;28/12/2021;2021
71562;4-Aduana;Equipamento de Radiação Restrita;;;5000;30,00;5000;jul;16/07/2021;28/12/2021;2021
44395;;SmartTV Box;;11200;;;11200;dez;20/12/2020;28/12/2021;2020
71589;4-Aduana;Equipamento de Radiação Restrita;;;1500;15090,00;1500;jun;30/06/2021;28/12/2021;2021
71417;4-Aduana;Outros;;;200;28798,00;200;jun;25/06/2021;28/12/2021;2021
60808;4-Aduana;Equipamento de Radiação Restrita;;;400;16728,00;400;jun;16/06/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;300;200109,00;300;set;13/09/2021;28/12/2021;2021
60808;4-Aduana;Equipamento de Radiação Restrita;;;7000;365960,00;7000;jun;16/06/2021;28/12/2021;2021
60808;4-Aduana;Carregadores de Baterias;;;9000;329400,00;9000;jun;16/06/2021;28/12/2021;2021
60808;4-Aduana;Equipamento de Radiação Restrita;;;1500;82350,00;1500;jun;16/06/2021;28/12/2021;2021
74300;4-Aduana;Equipamento de Radiação Restrita;;;200;89998,00;200;set;13/09/2021;28/12/2021;2021
71417;4-Aduana;Outros;;;200;32598,00;200;jun;25/06/2021;28/12/2021;2021
60808;4-Aduana;Equipamento de Radiação Restrita;;;750;31365,00;750;jun;16/06/2021;28/12/2021;2021
71417;4-Aduana;Outros;;;100;17349,00;100;jun;25/06/2021;28/12/2021;2021
71417;4-Aduana;Equipamento de Rede de Dados;;;1000;54900,00;1000;jun;25/06/2021;28/12/2021;2021
